Part Name,Link,Vendor,Qty,Price Per Unit,Total Item Price,Notes,,,,Current Part List (ignore),,,
Pulley Bearings,https://www.amazon.com/gp/product/B07X1YPDQR/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&amp&psc=1&_encoding=UTF8&tag=roboticworx0e-20&linkCode=ur2&linkId=f2801af12ce451eeb188f7655a75b61f&camp=1789&creative=9325,Amazon,1,$19.99,$19.99,Cheaper on Amazon than Aliexpress for some reason,,,,Stepper Motor Shaft Coupler,,TRUE,
Base Timing Belt - GT2 600mm,https://www.aliexpress.us/item/3256804460791382.html?spm=a2g0o.productlist.main.6.3103CaNwCaNw59&algo_pvid=66374233-f73e-4669-9a64-1b3ef8d930d9&algo_exp_id=66374233-f73e-4669-9a64-1b3ef8d930d9-5&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.47%210.99%21%21%2124.61%217.03%21%402101f42817614455311493762e07f0%2112000029966715782%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=6uxZZiebd3DN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004647106134%7C_p_origin_prod%3A,Aliexpress,1,$3.52,$3.52,,,,,Steppr Motor Shaft Extension,,TRUE,
Tilt Timing Belt - GT2 400mm,https://www.aliexpress.us/item/3256808692490611.html?spm=a2g0o.productlist.main.3.57b94ed2dt0Ums&algo_pvid=3a928d79-43dc-4df6-b5b2-45d5ef25acc6&algo_exp_id=3a928d79-43dc-4df6-b5b2-45d5ef25acc6-2&pdp_ext_f=%7B%22order%22%3A%2298%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.93%210.99%21%21%2134.93%217.04%21%4021033d6617614460343404199e7189%2112000047086969362%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=7w5KFZZBQcLW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008878805363%7C_p_origin_prod%3A,Aliexpress,2,$4.93,$9.86,,,,,Hall Effect Magnet Sensors,,TRUE,
Arm Timing Belt - GT2 - 420mm,https://www.aliexpress.us/item/3256804906037786.html?spm=a2g0o.productlist.main.1.2d0f2365Y7C3AV&algo_pvid=b7a3b95b-bafb-4681-ad25-4b4e9b8725a7&algo_exp_id=b7a3b95b-bafb-4681-ad25-4b4e9b8725a7-0&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.65%210.99%21%21%2125.89%217.04%21%402101ee6617614464948302763ea7b3%2112000031627477845%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=88Y1iryqjXZD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005092352538%7C_p_origin_prod%3A,Aliexpress,1,$3.66,$3.66,,,,,Solder Flux,,TRUE,
Nema Compatible Pulleys 20t,https://www.amazon.com/WINSINN-Aluminum-Synchronous-Timing-Printer/dp/B077GNZK3J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1RSGL9hj7VfeRoLhAWTezzILcw6Wab_zt7AplTRCTnsnI9KeKo_vH34vRsbxrLfAMeSYkmCCPkQLF5O7DRH2_xAjhCBcSv_VxmN_NHPNOq-Tp8D6im6-_Pf9Dw-lCsgzJRHiuziygEZHv2juDXXIsDNYaU1alQ71A5mWZzzX0YQEIe8p8-6auERTXz7BH1jx8C8LQltvN9Fz8ZNpbzl1qMEYZZCTa8ea23jXNu-etn8.4ucF_d3i1qqTl6Bjw5zU-SOwzcAKbWyYlJ6r8vphPqo&dib_tag=se&keywords=gt2%2B20t%2Bpulley%2B5mm%2Bbore&qid=1761451261&sr=8-3&th=1,Amazon,1,$6.99,$6.99,,,,,PCB,,TRUE,
Nema Shaft Coupler - 5mm to 5mm,https://www.amazon.com/ZYCST-Aluminium-Coupling-Connector-Airplane/dp/B07QQM472Q/ref=sr_1_6?crid=P46L80HDC6XS&dib=eyJ2IjoiMSJ9.37KX6SV3RMMgXImOjXpixKpK_iD66WlpVLtrdP28nciqEaSWBnbQdQ1Qzv7I2rrDX-yc29D2j1ywM12psMz2pBbgEtO5t4Op5n9vRy1kBXZQgFe-0jUaJcJEijCcVLczCg-zYFIRIKw0uRgTl_UuwSS2AnBVUofCx6QspXRR3D5wkXIS0zCVn5I6e_3arSq0a3A7zXb3Ufd_Sqg4WayXijr9wZMZqVveYWef0ytotN8.X7rYLEmNbukNZq5QcUA6l7SS7MAMOomOPcb9dHUnu6s&dib_tag=se&keywords=nema%2Bmotor%2Bshaft%2Bcoupler%2Brigid&qid=1761451387&sprefix=nema%2Bmotor%2Bshaft%2Bcoupler%2Brigid%2Caps%2C82&sr=8-6&th=1,Amazon,1,$8.68,$8.68,,,,,Incorporate Screen? - already have,,TRUE,
5mm Shaft,https://www.aliexpress.us/item/3256804855023250.html?spm=a2g0o.productlist.main.1.2e326e29Qu62xa&algo_pvid=589f590d-21fa-4b7c-83af-a452fff66671&algo_exp_id=589f590d-21fa-4b7c-83af-a452fff66671-0&pdp_ext_f=%7B%22order%22%3A%221446%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.53%210.99%21%21%211.53%210.99%21%40210328db17614515888877247e7b7e%2112000031424484628%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462900&curPageLogUid=eToSzEbrcTHk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005041338002%7C_p_origin_prod%3A,Aliexpress,1,$2.95,$2.95,,,,,Hardware,,FALSE,
5mm Bore Shaft Collars,https://www.amazon.com/uxcell-Collars-5-05mm-Collar-Carbon/dp/B0D2L23B34/ref=sr_1_6?crid=1JIONRSQP06U6&dib=eyJ2IjoiMSJ9.P2Qp_dJsrrz9Ta_5UTfLcdLNuADr1lsnbqLDgERxMRR7_ez0HscRc_i-yJH0XowjxkGMVv4spaR8N6fa7KlfoVkHWWtGyZS-J68Iwi3WoYL2IyQBZIxSKDf2l6kE-OpTCd1ctcXlThptHPdRjLDaqKCeWIk63Q-g8TmJauNjnDAKT3EK15-Dvc7G6An23yxqNza68AQ3W88Y1Y_QVq1N6p5t5lWT9-tPLJvW7Hi07u8.Mknx1HuV_xpSxm76dSFCYMPWGkbxFdP3on-Bx2u8rFY&dib_tag=se&keywords=5mm+bore+shaft+collar&qid=1761451853&sprefix=5mm+bore+shaft+colla%2Caps%2C107&sr=8-6,Amazon,1,$7.99,$7.99,,,,,Shaft Coupler,,TRUE,
Emergency Stop Button,https://www.aliexpress.us/item/3256805247269854.html?spm=a2g0o.productlist.main.14.5bb06080w7qxjq&algo_pvid=2c9d4e8f-dcff-4f5b-be76-ae0b2a7a70d5&algo_exp_id=2c9d4e8f-dcff-4f5b-be76-ae0b2a7a70d5-14&pdp_ext_f=%7B%22order%22%3A%22166%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.81%210.99%21%21%2112.82%217.01%21%402101f4dc17614520510425973efd78%2112000033057402451%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=7iOAle9r2beF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005433584606%7C_p_origin_prod%3A#nav-review,Aliexpress,1,$3.16,$3.16,,,,,Shaft Collars,,TRUE,
TC9548A I2C Multiplexer,https://www.aliexpress.us/item/3256806776881856.html?spm=a2g0o.productlist.main.4.696c4911oOWURX&algo_pvid=a14a23a7-ce9b-413c-91b8-554a9816d042&algo_exp_id=a14a23a7-ce9b-413c-91b8-554a9816d042-1&pdp_ext_f=%7B%22order%22%3A%22180%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.21%210.99%21%21%211.21%210.99%21%402101d25f17614530043483394e5ff5%2112000038872380879%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462900&curPageLogUid=IwMJi6b2YFbL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006963196608%7C_p_origin_prod%3A,Aliexpress,1,$1.21,$1.21,,,,,Super Glue,,TRUE,
LM2596 Buck Convertor,https://www.aliexpress.us/item/3256807314089934.html?spm=a2g0o.productlist.main.6.1ee63fc34iOKix&algo_pvid=c2cf9fcf-6c88-4794-a850-b013c7308ff1&algo_exp_id=c2cf9fcf-6c88-4794-a850-b013c7308ff1-6&pdp_ext_f=%7B%22order%22%3A%221766%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.83%210.99%21%21%211.83%210.99%21%40210328db17614533766713221e7b39%2112000041039673533%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=Wu6JDzB64eYc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007500404686%7C_p_origin_prod%3A#nav-review,Aliexpress,1,$1.83,$1.83,,,,,Threadlock,,TRUE,
KF301-2P,https://www.aliexpress.us/item/3256801470316663.html?spm=a2g0o.productlist.main.1.6ebd5d8bbnFBYu&algo_pvid=c397f84a-941c-4963-9b6a-f3c63b53e9a8&algo_exp_id=c397f84a-941c-4963-9b6a-f3c63b53e9a8-0&pdp_ext_f=%7B%22order%22%3A%22290%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.03%210.99%21%21%212.03%210.99%21%402101f4c117615954711221086e0fa0%2112000017011681254%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462900&curPageLogUid=JTMvVZ0UrrPF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001656631415%7C_p_origin_prod%3A#nav-specification,Aliexpress,1,$2.03,$2.03,"For 24v Power, TB6600, and EStop",,,,Piece of plywood for base,,FALSE,
XT60 to Power Supply Cable,https://www.amazon.com/FLY-RC-Connector-Battery-Adapter/dp/B07C1QKNHP/ref=sr_1_6?crid=14CQ45Z5VHEXB&dib=eyJ2IjoiMSJ9.I0Z90K14vGFRLKvMLHCshFuxSvHv_GjI0WDKYgPcEkRfWgUP6WuHnRt_CTL8eb_jlTpc_4H6liRiUHMm1VniInWOBni4XWuLB3jMqdcvSoIzFbFsyTMpuldyja-OrI33jdrxiD29yNhYpwl0Q7p5TLJNalo6r7UambSf1ik7H_ZsHIs6EF-f7U6eafivl-mPy-9-DwcKMDqWVsjLlwOe8axTcHY9G9a1sDlidWw1KL0UOIGLX9XrXeI_7hZpW2OmAhoQM2PdliVuk9DbQi0XuAJXdsVVg5IdyjVd9wZNmtk.Y8c2bxXoMrW_DoHLtvu_AR2dtigrFMNNYCLgECgvipU&dib_tag=se&keywords=xt60+to+banana+plug&qid=1761453994&sprefix=xt60+to+banana+plu%2Caps%2C129&sr=8-6,Amazon,1,$7.99,$7.99,,,,,Heat Shrink for Wire,,FALSE,
XT60 to PCB Connector,https://www.aliexpress.us/item/3256807190011486.html?spm=a2g0o.productlist.main.11.5efdzwYxzwYxlh&algo_pvid=ac10db32-1ce9-4033-8225-e6479e4900c4&algo_exp_id=ac10db32-1ce9-4033-8225-e6479e4900c4-10&pdp_ext_f=%7B%22order%22%3A%22977%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.97%210.99%21%21%2113.94%217.01%21%402101df0e17615969055707212e40a0%2112000040483651775%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=VTdH76DwQu0A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007376326238%7C_p_origin_prod%3A,Aliexpress,1,$1.97,$1.97,,,,,Big Red E-Stop Button,,TRUE,
LED,https://www.aliexpress.us/item/3256803137393104.html?spm=a2g0o.productlist.main.2.73431754vliggy&algo_pvid=07b893a6-c32a-4334-9ab6-2f6e1178ef70&algo_exp_id=07b893a6-c32a-4334-9ab6-2f6e1178ef70-1&pdp_ext_f=%7B%22order%22%3A%22968%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.93%210.99%21%21%213.93%210.99%21%4021033d5017615991743176836e6a31%2112000025211444652%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=b62xWcd5ozFc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003323707856%7C_p_origin_prod%3A,Aliexpress,1,$3.93,$3.93,For PCB,,,,,,FALSE,
1x3 Headers,https://www.aliexpress.us/item/2255800801798474.html?spm=a2g0o.productlist.main.1.22ea100ateGlLs&algo_pvid=67e01338-8cfb-4afd-ae1a-0e4c5a3001ab&algo_exp_id=67e01338-8cfb-4afd-ae1a-0e4c5a3001ab-0&pdp_ext_f=%7B%22order%22%3A%221892%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.45%210.99%21%21%211.45%210.99%21%402101f41a17616012132762711ecfad%2110000013202368848%21sea%21US%212678897144%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29894%3BpisId%3A5000000187462902&curPageLogUid=KULvQdnglpAk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000988113226%7C_p_origin_prod%3A,Aliexpress,1,$1.62,$1.62,1x3 Headers for Servo,,,,,,FALSE,
